model,scale,parameter,row_type,method,overall_status,primary_metric,expectation_strength,reason,observed_behavior
baseline,medium_large,edge_density,graph_level,,SUPPORTED_WITH_VARIATION,driving,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,medium_large,maximum_walking_distance,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,medium_large,network_size,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,medium_large,parking_budget,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,medium_large,parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,medium_large,parking_supply,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,medium_large,traffic_level,graph_level,,SUPPORTED,driving,STRICT,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,small,edge_density,graph_level,,SUPPORTED,driving,GENERAL,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,small,maximum_walking_distance,graph_level,,SUPPORTED,objective,STRICT,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,small,network_size,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,small,parking_budget,graph_level,,SUPPORTED,objective,STRICT,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,small,parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,small,parking_supply,graph_level,,SUPPORTED_WITH_VARIATION,objective,STRICT,"Primary graph-level trend is supported, with local approximate-method variation attributable to search quality.",
baseline,small,traffic_level,graph_level,,SUPPORTED,driving,STRICT,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,sumo,edge_density,graph_level,,SUPPORTED_WITH_VARIATION,driving,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,sumo,maximum_walking_distance,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,sumo,network_size,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,sumo,parking_budget,graph_level,,SUPPORTED,objective,GENERAL,Observed graph-level behavior matches the scientifically appropriate expectation.,
baseline,sumo,parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
baseline,sumo,parking_supply,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,sumo,traffic_level,graph_level,,SUPPORTED,driving,STRICT,Observed graph-level behavior matches the scientifically appropriate expectation.,
extension,medium_large,edge_density,graph_level,,SUPPORTED_WITH_VARIATION,driving,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,medium_large,maximum_walking_distance,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,medium_large,node_size,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,medium_large,parking_budget_cmax,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,medium_large,parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,medium_large,parking_spot_availability,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,medium_large,spots_per_lot,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,medium_large,traffic_level,graph_level,,NEEDS_CAUTION,driving,STRICT,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,small_scale,scale_edge_density,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_maximum_walking_distance,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_node_size,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_parking_budget_cmax,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_parking_spot_availability,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_spots_per_lot,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,small_scale,scale_traffic_level,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,sumo,edge_density,graph_level,,SUPPORTED_WITH_VARIATION,driving,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,sumo,maximum_walking_distance,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,sumo,parking_budget_cmax,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,sumo,parking_cost_range,graph_level,,SUPPORTED_WITH_VARIATION,objective,GENERAL,Primary graph-level trend is scientifically supported with acceptable local variation or trade-off.,
extension,sumo,parking_spot_availability,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,sumo,spots_per_lot,graph_level,,NEEDS_CAUTION,objective,GENERAL,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
extension,sumo,traffic_level,graph_level,,NEEDS_CAUTION,driving,STRICT,Approximate-method search-quality variation dominates and no stronger supported graph-level conclusion is justified.,
baseline,medium_large,edge_density,method_level,ACO,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.462 end=9.804 reversals=0
baseline,medium_large,edge_density,method_level,GA,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=19.008 end=11.652 reversals=0
baseline,medium_large,edge_density,method_level,Heuristic,CONSISTENT,driving,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=12.276 end=9.756 reversals=0
baseline,medium_large,edge_density,method_level,PSO,ACCEPTABLE_VARIATION,driving,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.",start=18.354 end=13.602 reversals=1; overall tendency holds with local fluctuation
baseline,medium_large,maximum_walking_distance,method_level,ACO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=13.591 end=13.7314 reversals=1; net contradiction likely due to search quality, max_step=0.1458"
baseline,medium_large,maximum_walking_distance,method_level,GA,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=19.8694 end=21.157 reversals=3; net contradiction likely due to search quality, max_step=0.81"
baseline,medium_large,maximum_walking_distance,method_level,Heuristic,CONSISTENT,objective,GENERAL,Observed behavior matches the scientifically appropriate expectation.,start=13.6702 end=13.591 reversals=0
baseline,medium_large,maximum_walking_distance,method_level,PSO,SEARCH_QUALITY_VIOLATION,objective,GENERAL,"The primary trend is violated, but this is scientifically attributable to approximate search rather than a data/objective contradiction.","start=17.3448 end=21.3122 reversals=3; net contradiction likely due to search quality, max_step=1.3738"
baseline,medium_large,network_size,method_level,ACO,ACCEPTABLE_VARIATION,objective,GENERAL,"Local fluctuation is scientifically acceptable under trade-offs, topology changes, or general-trend interpretation.","start=8.2968 end=13.7368 reversals=0; different topologies, general-trend case"
